2023-06-14 03:29:21 error: [POST] /auth/login >> StatusCode:: 400, Message:: Cannot read properties of undefined (reading 'status')
2023-06-14 03:32:45 error: [POST] /payment/callback >> StatusCode:: 400, Message:: flutterwave_1.flw.Transaction.find is not a function
2023-06-14 03:44:49 error: [POST] /payment/callback >> StatusCode:: 400, Message:: Transaction validation failed: proposal_id: Cast to ObjectId failed for value "5f5d7974-1ac0-4718-b419-378ac245584f" (type string) at path "proposal_id" because of "BSONTypeError"
2023-06-14 03:45:54 error: [POST] /payment/callback >> StatusCode:: 400, Message:: Transaction validation failed: proposal_id: Cast to ObjectId failed for value "5f5d7974-1ac0-4718-b419-378ac245584f" (type string) at path "proposal_id" because of "BSONTypeError"
2023-06-14 03:48:35 error: [POST] /payment/callback >> StatusCode:: 400, Message:: Argument passed in must be a string of 12 bytes or a string of 24 hex characters or an integer
2023-06-14 03:49:54 error: [POST] /payment/callback >> StatusCode:: 400, Message:: Argument passed in must be a string of 12 bytes or a string of 24 hex characters or an integer
2023-06-14 03:51:22 error: [POST] /payment/callback >> StatusCode:: 400, Message:: PAYMENT_VALIDATION_ERROR
2023-06-14 03:55:53 error: [POST] /payment/callback >> StatusCode:: 400, Message:: PAYMENT_VALIDATION_ERROR
2023-06-14 03:57:57 error: [POST] /payment/callback >> StatusCode:: 400, Message:: PAYMENT_VALIDATION_ERROR
2023-06-14 04:14:13 error: [POST] /payment >> StatusCode:: 400, Message:: Cast to ObjectId failed for value "647dce395fab9416eff394c" (type string) at path "_id" for model "Bidding"
2023-06-14 04:14:18 error: [POST] /payment >> StatusCode:: 400, Message:: PROPOSAL_NOT_FOUND
